22.19,51.25
22.5,51.25
22.44,48.75
22.37,48.75
23.78,50.0
23.22,50.0
22.3,51.25
22.34,51.25
22.17,51.25
22.33,51.25
22.01,51.25
22.69,51.25
23.58,50.0
23.93,50.0
23.9,50.0
23.11,50.0
0.87,0.0
0.7,0.0
23.92,50.0
23.78,50.0
22.73,51.25
22.36,51.25
21.67,48.75
21.62,48.75
23.51,50.0
23.4,50.0
22.64,51.25
22.2,51.25
22.01,48.75
22.52,48.75
23.52,50.0
23.43,50.0
23.97,50.0
23.17,50.0
23.6,50.0
23.05,50.0
23.8,50.0
23.07,50.0
23.24,50.0
23.9,50.0
23.39,50.0
23.12,50.0
24.04,50.0
24.32,50.0
22.94,50.0
22.61,50.0
24.22,50.0
24.42,50.0
24.56,50.0
24.86,50.0
24.87,50.0
24.15,50.0
24.37,50.0
24.89,50.0
24.1,50.0
24.48,50.0
22.68,50.0
22.35,50.0
24.59,50.0
24.9,50.0
24.64,50.0
24.43,50.0
24.78,50.0
24.27,50.0
24.53,50.0
24.04,50.0
24.5,50.0
24.43,50.0
24.13,50.0
24.01,50.0
24.09,50.0
24.54,50.0
24.41,50.0
24.48,50.0
24.42,50.0
24.77,50.0
22.9,50.0
22.28,50.0
24.14,50.0
24.23,50.0
24.61,50.0
24.12,50.0
23.97,50.0
23.63,50.0
22.07,48.75
22.98,48.75
23.49,50.0
23.0,50.0
23.15,50.0
23.69,50.0
23.41,50.0
23.0,50.0
23.78,50.0
23.04,50.0
23.16,50.0
23.74,50.0
24.52,50.0
24.14,50.0
24.01,50.0
24.07,50.0
23.28,50.0
23.23,50.0
23.99,50.0
23.0,50.0
23.18,50.0
23.8,50.0
23.42,50.0
23.1,50.0
23.22,50.0
23.63,50.0
23.73,50.0
23.3,50.0
23.06,50.0
23.0,50.0
23.99,50.0
23.96,50.0
23.1,50.0
23.72,50.0
23.56,50.0
23.23,50.0
23.07,50.0
23.29,50.0
22.77,48.75
22.2,48.75
23.53,50.0
23.14,50.0
23.12,50.0
23.21,50.0
22.69,48.75
22.13,48.75
23.51,48.75
23.53,48.75
23.95,50.0
23.82,50.0
23.92,50.0
23.02,50.0
23.39,50.0
23.9,50.0
23.9,50.0
23.86,50.0
23.27,50.0
23.34,50.0
23.11,50.0
23.94,50.0
23.49,50.0
23.1,50.0
23.37,50.0
23.12,50.0
22.17,48.75
